json,regio
db/rvr/geojson/1e_druk_serie4.geojson|07 maeseijck_1849,eerste druk-4-7-1849-maeseijck
db/rvr/geojson/1e_druk_serie4.geojson|08 stevensweert_1849,eerste druk-4-8-1849-stevensweerd
db/rvr/geojson/1e_druk_serie4.geojson|09 roermond_1849,eerste druk-4-9-1849-roermond
db/rvr/geojson/1e_druk_serie4.geojson|09a supplement_09 roermond,"eerste druk-4-09a-1849-supplementair blad, behoorende bij het blad no. 9. roermond"
db/rvr/geojson/1e_druk_serie4.geojson|10 horn_1849,eerste druk-4-10-1849-horn
db/rvr/geojson/1e_druk_serie4.geojson|11 neer_1849,eerste druk-4-11-1849-neer
db/rvr/geojson/1e_druk_serie4.geojson|12 kessel_1850,eerste druk-4-12-1850-kessel
db/rvr/geojson/1e_druk_serie4.geojson|14 velden_1850,eerste druk-4-14-1850-velden
db/rvr/geojson/1e_druk_serie4.geojson|15 lottum_1850,eerste druk-4-15-1850-lottum
db/rvr/geojson/1e_druk_serie4.geojson|16 broekhuizenvorst_1850,eerste druk-4-16-1850-broekhuizenvorst
db/rvr/geojson/1e_druk_serie4.geojson|18 vierlingsbeek_1850,eerste druk-4-18-1850-vierlingsbeek
db/rvr/geojson/1e_druk_serie4.geojson|19 sambeek_1850,eerste druk-4-19-1850-sambeek
db/rvr/geojson/1e_druk_serie4.geojson|20 beugen_1851,eerste druk-4-20-1851-beugen
db/rvr/geojson/1e_druk_serie4.geojson|21 cuijk_1851,eerste druk-4-21-1851-cuijk
db/rvr/geojson/1e_druk_serie4.geojson|22 groot linden_1851,eerste druk-4-22-1851-groot linden
db/rvr/geojson/1e_druk_serie4.geojson|22a supplement_22 groot linden,"eerste druk-4-22a-1851-supplementair blad, behoorende bij het blad no. 22, groot linden"
db/rvr/geojson/1e_druk_serie4.geojson|23 beers_1851,eerste druk-4-23-1851-beers
db/rvr/geojson/1e_druk_serie4.geojson|24 zeeland_1851,eerste druk-4-24-1851-zeeland
db/rvr/geojson/1e_druk_serie4.geojson|25 grave_1851,eerste druk-4-25-1851-grave
db/rvr/geojson/1e_druk_serie4.geojson|26 ravestein_1852,eerste druk-4-26-1852-ravestein
db/rvr/geojson/1e_druk_serie4.geojson|27 megen_1853,eerste druk-4-27-1853-megen
db/rvr/geojson/1e_druk_serie4.geojson|28 lith_1853,eerste druk-4-28-1853-lith
db/rvr/geojson/1e_druk_serie4.geojson|29 rossum_1853,eerste druk-4-29-1853-rossum
db/rvr/geojson/1e_druk_serie4.geojson|29a supplement_29 rossum,eerste druk-4-29a-1859-supplementair blad rossum(no. 29)
db/rvr/geojson/1e_druk_serie4.geojson|30 driel_1854,eerste druk-4-30-1854-driel
db/rvr/geojson/1e_druk_serie4.geojson|31 ammerzoden_1854,eerste druk-4-31-1854-ammerzoden
db/rvr/geojson/1e_druk_serie4.geojson|32 heusden_1854,eerste druk-4-32-1854-heusden
db/rvr/geojson/1e_druk_serie4.geojson|33 wijk_1855,eerste druk-4-33-1854-wijk
db/rvr/geojson/1e_druk_serie4.geojson|33a supplement_33 wijk,"eerste druk-4-33a-1854-supplement, behoorende bij blad no. 33 wijk"
db/rvr/geojson/1e_druk_serie4.geojson|34 woudrichem_1855-1856,eerste druk-4-34-1856-woudrichem
db/rvr/geojson/1e_druk_serie5.geojson|01 lage zwaluwe_1858,eerste druk-5-1-1858-lage zwaluwe
db/rvr/geojson/1e_druk_serie5.geojson|02 hooge zwaluwe_1858,eerste druk-5-2-1858-hooge zwaluwe
db/rvr/geojson/1e_druk_serie5.geojson|04 s-gravendeel_1858,eerste druk-5-4-1858-'sgravendeel
db/rvr/geojson/1e_druk_serie5.geojson|05 lagenhof_1857,eerste druk-5-5-1857-lagenhof (signaal)
db/rvr/geojson/1e_druk_serie5.geojson|06 nieuwe dijk_1857,eerste druk-5-6-1857-nieuwe dijk
db/rvr/geojson/1e_druk_serie6.geojson|01 gouda_1860,eerste druk-6-1-1860-gouda
db/rvr/geojson/1e_druk_serie6.geojson|02 nieuwerkerk_1860,eerste druk-6-2-1860-nieuwerkerk
db/rvr/geojson/1e_druk_serie6.geojson|03 ouderkerk_1860,eerste druk-6-3-1860-ouderkerk
db/rvr/geojson/1e_herziening_serie1.geojson|01 schenkenschans_1874,eerste herziening-1-1-1874-schenkenschans
db/rvr/geojson/1e_herziening_serie1.geojson|02 kekerdom_1873,eerste herziening-1-2-1873-kekerdom
db/rvr/geojson/1e_herziening_serie1.geojson|03 nijmegen_1873,eerste herziening-1-3-1873-nijmegen
db/rvr/geojson/1e_herziening_serie1.geojson|04 herveld_1873,eerste herziening-1-4-1873-herveld
