Nr       ,Titel                                                             ,Verk.    ,Herz.    ,Bew.     ,Uitgave  ,Editie,W.krt,"Bijkrt, w.e.","Bijkrt, h.w.",Fys. Kenm.            ,Stempels                                                                                                 ,Prov.     ,op bladindex,Signatuur ,Opm.                                                                                                                                                                            ,Kartob.,Bewaard,Ex Aardwetenschappen, ,                                            ,,,,,,,,,,,,,,,
2        ,Schiermonnikoog-Oost                                              ,         ,         ,         ,1974     ,5     ,     ,              ,H             ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,Nugter ,2 ex                ,0,                                            ,,,,,,,,,,,,,,,
2        ,Schiermonnikoog-Oost                                              ,         ,1973     ,         ,1974     ,5     ,     ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,            ,LL.03518gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen 1                                                       ,1888     ,         ,1889     ,         ,1     ,     ,              ,              ,Op linnen             ,Topographische Inrichting Kaartenarchief                                                                 ,Nugter    ,            ,LL.03513gk,                                                                                                                                                                                ,       ,Nugter ,                    , ,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen 1                                                       ,         ,1916     ,1917     ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03514gk,                                                                                                                                                                                ,       ,Nugter ,                    , ,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen 2                                                       ,1887     ,         ,1888     ,         ,1     ,     ,              ,              ,Op linnen             ,Topographische Inrichting Kaartenarchief                                                                 ,Nugter    ,            ,LL.03513gk,                                                                                                                                                                                ,       ,Nugter ,                    , ,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen 2                                                       ,         ,1916     ,1917     ,         ,2     ,     ,              ,              ,                      ,Geschenk Koninklijk Huisarchief 1971                                                                     ,Nugter    ,            ,LL.03514gk,                                                                                                                                                                                ,       ,Nugter ,                    , ,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen 3                                                       ,1887     ,         ,1888     ,         ,1     ,     ,              ,              ,Op linnen             ,Topographische Inrichting Kaartenarchief                                                                 ,Nugter    ,            ,LL.03513gk,                                                                                                                                                                                ,       ,Nugter ,                    , ,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen 3                                                       ,         ,1916     ,1917     ,         ,2     ,     ,              ,              ,                      ,Geschenk Koninklijk Huisarchief 1971                                                                     ,Nugter    ,            ,LL.03514gk,                                                                                                                                                                                ,       ,Nugter ,                    , ,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen West                                                    ,         ,1946     ,         ,         ,3     ,     ,              ,              ,                      ,Onleesbaar                                                                                               ,Nugter    ,            ,LL.03515gk,"Bewerking Algemene dienst Rijkswaterstaat; Reproductie firma P.J.Mulder en Zoon, Leiden"                                                                                       ,       ,Nugter ,                    , ,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-West                                                    ,         ,1955     ,         ,         ,4     ,     ,              ,              ,                      ,                                                                                                         ,VU        ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,kan weg,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
