Nr       ,Titel                                                             ,Verk.    ,Herz.    ,Bew.     ,Uitgave  ,Editie,W.krt,"Bijkrt, w.e.","Bijkrt, h.w.",Fys. Kenm.            ,Stempels                                                                                                 ,Prov.     ,op bladindex,Signatuur ,Opm.                                                                                                                                                                            ,Kartob.,Bewaard,Ex Aardwetenschappen, ,                                            ,,,,,,,,,,,,,,,
46       ,Gennep                                                            ,         ,1978     ,1985     ,1986     ,5     ,     ,W             ,              ,                      ,Topografische dienst bibliotheek                                                                         ,Nugter    ,Ja          ,LL.03517gk,Sticker gebruikt i.p.v. stempel                                                                                                                                                 ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
46       ,Gennep                                                            ,         ,1978     ,1986     ,1986     ,5     ,     ,              ,H             ,                      ,Topografische dienst bibliotheek                                                                         ,Nugter    ,Ja          ,LL.03517gk,Sticker gebruikt i.p.v. stempel                                                                                                                                                 ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
46       ,Gennep                                                            ,         ,1978     ,1985     ,1986     ,5     ,Ja   ,              ,              ,                      ,                                                                                                         ,VU        ,Ja          ,LL.03517gk,Achterzijde bedrukt                                                                                                                                                             ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
46       ,Gennep                                                            ,         ,1978     ,1985     ,1986     ,5     ,     ,W             ,              ,                      ,Topografische dienst bibliotheek                                                                         ,VU        ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
46       ,Gennep                                                            ,         ,1978     ,1986     ,1986     ,5     ,     ,              ,H             ,                      ,Topografische dienst bibliotheek                                                                         ,VU        ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
47       ,Cadzand                                                           ,         ,1961     ,         ,1963     ,3     ,     ,              ,              ,                      ,Topografische dienst kaartenarchief                                                                      ,Nugter    ,Ja          ,LL.03515gk,                                                                                                                                                                                ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
47       ,Cadzand                                                           ,         ,1961     ,         ,1963     ,3     ,     ,              ,              ,                      ,Topografische dienst kaartenarchief                                                                      ,VU        ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
47       ,Cadzand                                                           ,         ,1971     ,         ,1971     ,4     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
47       ,Cadzand                                                           ,         ,         ,         ,1971     ,4     ,     ,              ,H             ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
47       ,Cadzand                                                           ,         ,1971     ,         ,1971     ,4     ,     ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
47       ,Cadzand                                                           ,         ,         ,         ,1971     ,4     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
47       ,Cadzand                                                           ,         ,1971     ,         ,1971     ,4     ,     ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03518gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
47       ,Cadzand                                                           ,         ,         ,         ,1971     ,4     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg 1                                                      ,         ,         ,1872     ,         ,1     ,     ,              ,              ,Op linnen             ,Topographische Inrichting                                                                                ,Nugter    ,            ,LL.03513gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg 1                                                      ,         ,1913     ,1915     ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03514gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg 2                                                      ,         ,         ,1872     ,         ,1     ,     ,              ,              ,Op linnen             ,Topographische Inrichting                                                                                ,Nugter    ,            ,LL.03513gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg 2                                                      ,         ,1913     ,1915     ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03514gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg 3                                                      ,         ,         ,1872     ,         ,1     ,     ,              ,              ,Op linnen             ,Topographische Inrichting                                                                                ,Nugter    ,            ,LL.03513gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg 3                                                      ,         ,1913     ,1915     ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03514gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg 4                                                      ,         ,         ,1872     ,         ,1     ,     ,              ,              ,Randen linnen         ,Waterstaats kartografie Documentatie                                                                     ,Nugter    ,            ,LL.03513gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg 4                                                      ,         ,1912     ,1914     ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03514gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg West                                                   ,         ,1943     ,1949     ,         ,2BIS  ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03514gk,BIS-editie                                                                                                                                                                      ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-West                                                   ,         ,1960     ,         ,1962     ,3     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03515gk,Achterzijde bedrukt                                                                                                                                                             ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-West                                                   ,         ,1971     ,         ,1972     ,4     ,Ja   ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03516gk,Achterzijde bedrukt                                                                                                                                                             ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-West                                                   ,         ,         ,         ,1972     ,4     ,     ,              ,H             ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-West                                                   ,         ,1971     ,         ,1972     ,4     ,Ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,            ,LL.03516gk,Achterzijde bedrukt                                                                                                                                                             ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-West                                                   ,         ,         ,         ,1972     ,4     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-West                                                   ,         ,1971     ,         ,1972     ,4     ,Ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,            ,LL.03518gk,Achterzijde bedrukt                                                                                                                                                             ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-West                                                   ,         ,         ,         ,1972     ,4     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-West                                                   ,         ,1975     ,1978     ,1981     ,5     ,Ja   ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03517gk,Voorlopige uitgave                                                                                                                                                              ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-West                                                   ,         ,1975     ,1978     ,1981     ,5     ,     ,              ,H             ,                      ,                                                                                                         ,Nugter    ,            ,LL.03517gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-West                                                   ,         ,1975     ,1978     ,1981     ,5     ,Ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-West                                                   ,         ,1975     ,1978     ,1981     ,5     ,ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU KB-03  ,            ,          ,                                                                                                                                                                                ,       ,kan weg,                    , ,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-West                                                   ,         ,1975     ,1978     ,1981     ,5     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,            ,LL.03517gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg Oost                                                   ,         ,1944     ,1948     ,         ,2BIS  ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03514gk,BIS-editie                                                                                                                                                                      ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-Oost                                                   ,         ,1959     ,         ,         ,3     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,          ,Achterzijde bedrukt                                                                                                                                                             ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-Oost                                                   ,         ,1959     ,         ,         ,3     ,     ,              ,              ,                      ,                                                                                                         ,VU        ,Ja          ,LL.03515gk,Achterzijde bedrukt                                                                                                                                                             ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-Oost                                                   ,         ,1971     ,         ,1973     ,4     ,Ja   ,              ,              ,                      ,Topografische dienst bibliotheek                                                                         ,Nugter    ,Ja          ,LL.03516gk,Achterzijde bedrukt                                                                                                                                                             ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-Oost                                                   ,         ,         ,         ,1973     ,4     ,     ,              ,H             ,                      ,Topografische dienst bibliotheek                                                                         ,Nugter    ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-Oost                                                   ,         ,1971     ,         ,1973     ,4     ,Ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03518gk,Achterzijde bedrukt                                                                                                                                                             ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-Oost                                                   ,         ,         ,         ,1973     ,4     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-Oost                                                   ,         ,1972     ,1978     ,1982     ,5     ,Ja   ,              ,              ,                      ,Topografische dienst bibliotheek                                                                         ,Nugter    ,Ja          ,LL.03517gk,Achterzijde: sticker gebruikt i.p.v. stempel                                                                                                                                    ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-Oost                                                   ,         ,1972     ,1978     ,1982     ,5     ,     ,              ,H             ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-Oost                                                   ,         ,1972     ,1978     ,1982     ,5     ,Ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-Oost                                                   ,         ,1972     ,1978     ,1982     ,5     ,ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU KB-03  ,            ,          ,                                                                                                                                                                                ,       ,kan weg,                    , ,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-Oost                                                   ,         ,1972     ,1978     ,1982     ,5     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
48       ,Middelburg-Oost                                                   ,         ,1972     ,1978     ,1982     ,5     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom 1                                                  ,         ,         ,1875     ,         ,1     ,     ,              ,              ,Op linnen             ,Topographische Inrichting                                                                                ,Nugter    ,            ,LL.03513gk,"Kaart delicaat i.v.m. vouwranden, aantekeningen: Leggerblad behoort in protefeuille zaal 18B"                                                                                  ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom 1                                                  ,         ,1911     ,1914     ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03514gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom 2                                                  ,         ,         ,1875     ,         ,1     ,     ,              ,              ,Op linnen             ,Topographische Inrichting                                                                                ,Nugter    ,            ,LL.03513gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom 2                                                  ,         ,1929     ,         ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03514gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom 3                                                  ,         ,         ,1875     ,         ,1     ,     ,              ,              ,Op linnen             ,Topographische Inrichting                                                                                ,Nugter    ,            ,LL.03513gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom 3                                                  ,         ,1912     ,1913     ,         ,2     ,     ,              ,              ,                      ,Geschenk Koninklijk Huisarchief 1971                                                                     ,Nugter    ,            ,LL.03514gk,Stempel achterzijde                                                                                                                                                             ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom 4                                                  ,         ,         ,1875     ,         ,1     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03513gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom 4                                                  ,         ,1929     ,         ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03514gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom (West)                                             ,         ,1939     ,1941     ,         ,2BIS  ,     ,              ,              ,                      ,Dienstgebruik                                                                                            ,Nugter    ,            ,LL.03514gk,BIS-editie                                                                                                                                                                      ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom-West                                               ,         ,1965     ,         ,1966     ,3     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03515gk,Achterzijde bedrukt                                                                                                                                                             ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom-West                                               ,         ,1965     ,         ,1966     ,3     ,     ,              ,              ,                      ,                                                                                                         ,VU        ,Ja          ,          ,Achterzijde bedrukt                                                                                                                                                             ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom-West                                               ,         ,1972     ,         ,1973     ,4     ,Ja   ,              ,              ,                      ,Topografische dienst bibliotheek                                                                         ,Nugter    ,Ja          ,LL.03516gk,Achterzijde bedrukt                                                                                                                                                             ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom-West                                               ,         ,         ,         ,1973     ,4     ,     ,              ,H             ,                      ,Topografische dienst bibliotheek                                                                         ,Nugter    ,Ja          ,LL.03516gk,"Volgens VU bibliografie hier een +W aanwezig en bij Oost niet, dit is omgekeerd!"                                                                                              ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom-West                                               ,         ,1972     ,         ,1973     ,4     ,Ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03516gk,Achterzijde bedrukt                                                                                                                                                             ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom-West                                               ,         ,         ,         ,1973     ,4     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom-West                                               ,         ,1972     ,         ,1973     ,4     ,Ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03518gk,Achterzijde bedrukt                                                                                                                                                             ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom-West                                               ,         ,         ,         ,1973     ,4     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom-West                                               ,         ,1980     ,1979     ,1982     ,5     ,Ja   ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03517gk,Achterzijde bedrukt                                                                                                                                                             ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom-West                                               ,         ,1980     ,1981     ,1982     ,5     ,     ,              ,H             ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom-West                                               ,         ,1980     ,1979     ,1982     ,5     ,Ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03517gk,Achterzijde bedrukt                                                                                                                                                             ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Berge op Zoom-West                                                ,         ,1980     ,1979     ,1982     ,5     ,ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU KB-03  ,            ,          ,Achterzijde bedrukt                                                                                                                                                             ,       ,kan weg,                    , ,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom-West                                               ,         ,1980     ,1981     ,1982     ,5     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom-West                                               ,         ,1980     ,1981     ,1982     ,5     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom Oost                                               ,         ,1953     ,         ,         ,2BIS  ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03514gk,BIS-editie                                                                                                                                                                      ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom Oost                                               ,         ,1953     ,         ,         ,2BIS  ,     ,              ,              ,                      ,Kaartenverzameling Geografisch Instituut Vrije Universiteit                                              ,VU        ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom-Oost                                               ,         ,1966     ,         ,1967     ,3     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03515gk,                                                                                                                                                                                ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom-Oost                                               ,         ,1966     ,         ,1967     ,3     ,     ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
49       ,Bergen op Zoom-Oost                                               ,         ,1971     ,         ,1973     ,4     ,Ja   ,              ,              ,                      ,Topografische dienst bibliotheek                                                                         ,Nugter    ,Ja          ,LL.03516gk,Stempel achterzijde                                                                                                                                                             ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
