editie,nr,titel,uitgever,uitgave,bewerkt,verkend,bijgewerkt,herzien,opname_jaar,basis_jaar,basis,schaal,bewerker,reproductie,opmerking,wsk,hw,we,image
1,20,ENKHUIZEN 1,Min. v. Oorl. Top. Bur.,,1867,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/20 Enkhuizen-1.jpg
1,20,ENKHUIZEN 2,Top. Inrigting,,1883,1880,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/20 Enkhuizen-2.jpg
1,21,ZWOLLE 1,Top. Inrigting,,1882,1880,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/21 Zwolle-1.jpg
1,21,ZWOLLE 2,Top. Inrigting,,1883,1881,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/21 Zwolle-2.jpg
1,21,ZWOLLE 3,Top. Inrigting,,1882,1880,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/21 Zwolle-3.jpg
1,21,ZWOLLE 4,Top. Inrigting,,1883,1880,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/21 Zwolle-4.jpg
1,22,COEVORDEN 1,Top. Inrichting,,1885,1884,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/22 Coevorden-1.jpg
1,22,COEVORDEN 2,Top. Inrichting,,1885,1884,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/22 Coevorden-2.jpg
1,22,COEVORDEN 3,Top. Inrichting,,1885,1883,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/22 Coevorden-3.jpg
1,22,COEVORDEN 4,Top. Inrichting,,1884,1883,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/22 Coevorden-4.jpg
1,23,NIEUW-SCHOONEBEEK,Top. Inrichting,,1885,1884,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/23 Nieuw-Schoonebeek.jpg
1,24,HILLEGOM 1,Min. v. Oorl. Top. Bur.,,1866,,,,,,,"Schaal van 10,000 Ellen",,,,,,,eerste_editie/24 Hillegom-1.jpg
1,24,HILLEGOM 2,Min. v. Oorl. Top. Bur.,,1867,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/24 Hillegom-2.jpg
1,25,AMSTERDAM 1,Top. Inrigting,,1879,1878,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/25 Amsterdam-1.jpg
1,25,AMSTERDAM 2,Top. Inrigting,,1878,1878,,,,,,,,,,,,,eerste_editie/25 Amsterdam-2.jpg
1,25,AMSTERDAM 3,Top. Inrigting,,1879,1878,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/25 Amsterdam-3.jpg
1,25,AMSTERDAM 4,Top. Inrigting,,1878,1878,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/25 Amsterdam-4.jpg
1,26,HARDERWIJK 1,Top. Inrigting,,1880,1878,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/26 Harderwijk-1.jpg
1,26,HARDERWIJK 2,Top. Inrigting,,1880,1878,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/26 Harderwijk-2.jpg
1,27,HATTEM 1,Top. Inrigting,,1882,1880,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/27 Hattem-1.jpg
1,27,HATTEM 2,Top. Inrigting,,1882,1880,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/27 Hattem-2.jpg
1,27,HATTEM 3,Top. Inrigting,,1882,1880,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/27 Hattem-3.jpg
1,27,HATTEM 4,Top. Inrigting,,1883,1880,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/27 Hattem-4.jpg
1,28,ALMELO 1,Top. Inrichting,,1884,1883,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/28 Almelo-1.jpg
1,28,ALMELO 2,Top. Inrichting,,1885,1883,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/28 Almelo-2.jpg
1,28,ALMELO 3,Top. Inrichting,,1884,1882,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/28 Almelo-3.jpg
1,28,ALMELO 4,Top. Inrichting,,1884,1882,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/28 Almelo-4.jpg
1,29,DENEKAMP 1,Top. Inrichting,,1885,1883,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/29 Denekamp-1.jpg
1,29,DENEKAMP 2,Top. Inrichting,,1884,1882,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/29 Denekamp-2.jpg
1,30,'S GRAVENHAGE 1,Top. Inrichting,,,,1885,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/30 's-Gravenhage-1.jpg
1,30,'S GRAVENHAGE 2,Min. v. Oorl. Top. Bur.,,1868,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/30 's-Gravenhage-2.jpg
1,30,'S GRAVENHAGE 3,Top. Inrichting,,,,1885,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/30 's-Gravenhage-3.jpg
1,31,UTRECHT 1,Top. Bur.,,1869,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/31 Utrecht-1.jpg
1,31,UTRECHT 2,Top. Bureau,,1869,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/31 Utrecht-2.jpg
1,31,UTRECHT 3,Top. Bur.,,1869,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/31 Utrecht-3.jpg
1,31,UTRECHT 4,Top. Bur.,,1869,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/31 Utrecht-4.jpg
1,32,AMERSFOORT 1,Top. Inrigting,,1880,1878,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/32 Amersfoort-1.jpg
